x	y
0.000000000000000000e+00 7.888833150428338215e+00
2.501563477173233269e-02 7.891035500335723540e+00
5.003126954346466537e-02 7.893686004057602013e+00
7.504690431519700500e-02 7.896794825057798839e+00
1.000625390869293307e-01 7.900372331419040606e+00
1.250781738586616565e-01 7.904429098183193503e+00
1.500938086303940100e-01 7.908975909661704051e+00
1.751094434021263357e-01 7.914023761713977478e+00
2.001250781738586615e-01 7.919583863991153549e+00
2.251407129455909872e-01 7.925667642142909308e+00
2.501563477173233130e-01 7.932286739984700574e+00
2.751719824890556665e-01 7.939453021622876250e+00
3.001876172607880200e-01 7.947178573535056856e+00
3.252032520325203180e-01 7.955475706603074570e+00
3.502188868042526715e-01 7.964356958095741845e+00
3.752345215759849695e-01 7.973835093598688140e+00
4.002501563477173230e-01 7.983923108888414610e+00
4.252657911194496765e-01 7.994634231747681952e+00
4.502814258911819745e-01 8.005981923719343030e+00
4.752970606629143280e-01 8.017979881795570307e+00
5.003126954346466260e-01 8.030642040039552398e+00
5.253283302063790350e-01 8.043982571136519155e+00
5.503439649781113330e-01 8.058015887871011529e+00
5.753595997498436310e-01 8.072756644527260050e+00
6.003752345215760400e-01 8.088219738209467380e+00
6.253908692933083380e-01 8.104420310078724654e+00
6.504065040650406360e-01 8.121373746503380175e+00
6.754221388367729340e-01 8.139095680119458720e+00
7.004377736085053430e-01 8.157601990797832769e+00
7.254534083802376410e-01 8.176908806514772365e+00
7.504690431519699390e-01 8.197032504122429231e+00
7.754846779237023480e-01 8.217989710015881855e+00
8.005003126954346460e-01 8.239797300693167514e+00
8.255159474671669440e-01 8.262472403204935034e+00
8.505315822388993530e-01 8.286032395490058988e+00
8.755472170106316510e-01 8.310494906593840270e+00
9.005628517823639489e-01 8.335877816765014714e+00
9.255784865540963580e-01 8.362199257428262200e+00
9.505941213258286560e-01 8.389477611028317128e+00
9.756097560975609539e-01 8.417731510742379797e+00
1.000625390869293252e+00 8.446979840056938471e+00
1.025641025641025550e+00 8.477241732205570202e+00
1.050656660412758070e+00 8.508536569464000721e+00
1.075672295184490368e+00 8.540883982298819177e+00
1.100687929956222666e+00 8.574303848366191971e+00
1.125703564727954964e+00 8.608816291356980344e+00
1.150719199499687262e+00 8.644441679684623736e+00
1.175734834271419560e+00 8.681200625012188254e+00
1.200750469043152080e+00 8.719113980614956461e+00
1.225766103814884378e+00 8.758202839575019993e+00
1.250781738586616676e+00 8.798488532804293882e+00
1.275797373358348974e+00 8.839992626892394512e+00
1.300813008130081272e+00 8.882736921775912009e+00
1.325828642901813570e+00 8.926743448225563426e+00
1.350844277673545868e+00 8.972034465147814331e+00
1.375859912445278388e+00 9.018632456697504907e+00
1.400875547217010686e+00 9.066560129198190765e+00
1.425891181988742984e+00 9.115840407866810935e+00
1.450906816760475282e+00 9.166496433339450078e+00
1.475922451532207580e+00 9.218551557994963730e+00
1.500938086303939878e+00 9.272029342073292213e+00
1.525953721075672398e+00 9.326953549585423886e+00
1.550969355847404696e+00 9.383348144011886660e+00
1.575984990619136994e+00 9.441237283786842127e+00
1.601000625390869292e+00 9.500645317564979209e+00
1.626016260162601590e+00 9.561596779268210611e+00
1.651031894934333888e+00 9.624116382909640777e+00
1.676047529706066186e+00 9.688229017192004022e+00
1.701063164477798706e+00 9.753959739878194313e+00
1.726078799249531004e+00 9.821333771931193724e+00
1.751094434021263302e+00 9.890376491421363880e+00
1.776110068792995600e+00 9.961113427198492687e+00
1.801125703564727898e+00 1.003357025232683242e+01
1.826141338336460196e+00 1.010777277728074708e+01
1.851156973108192716e+00 1.018374694289938809e+01
1.876172607879925014e+00 1.026151881309832703e+01
